name;role;age;season;nation;from;from_l;to;to_l;value
"Angelo Ogbonna";"Difensore centrale";"27";15/16";"Italia";"Juventus";"Serie A";"West Ham Utd.";"Premier League";"11,00 mln "
"Alessandro Matri";"Punta centrale";"29";13/14";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"11,00 mln "
"Sebastian Giovinco";"Seconda punta";"25";12/13";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"11,00 mln "
"Manolo Gabbiadini";"Punta centrale";"20";12/13";"Italia";"Atalanta";"Serie A";"Juventus";"Serie A";"11,00 mln "
"Luca Cigarini";"Mediano";"23";09/10";"Italia";"Atalanta";"Serie A";"Napoli";"Serie A";"11,00 mln "
"Luca Toni";"Punta centrale";"30";07/08";"Italia";"Fiorentina";"Serie A";"Bayern";"1.Bundesliga";"11,00 mln "
"Marco Di Vaio";"Punta centrale";"27";04/05";"Italia";"Juventus";"Serie A";"Valencia CF";"LaLiga";"11,00 mln "
"Cristiano Zanetti";"Mediano";"24";01/02";"Italia";"Roma";"Serie A";"Inter";"Serie A";"11,00 mln "
"Enrico Chiesa";"Punta centrale";"28";99/00";"Italia";"Parma";"Serie A";"Fiorentina";"Serie A";"10,70 mln "
"Manolo Gabbiadini";"Punta centrale";"23";14/15";"Italia";"Sampdoria";"Serie A";"Napoli";"Serie A";"12,50 mln "
"Giampaolo Pazzini";"Punta centrale";"28";12/13";"Italia";"Inter";"Serie A";"Milan";"Serie A";"12,50 mln "
"Massimo Maccarone";"Punta centrale";"22";02/03";"Italia";"Empoli";"Serie A";"Middlesbrough";"Premier League";"12,38 mln "
"Simone Zaza";"Punta centrale";"28";19/20";"Italia";"Valencia CF";"";"Torino";"";"12,00 mln "
"Mattia Perin";"Portiere";"25";18/19";"Italia";"Genoa";"Serie A";"Juventus";"Serie A";"12,00 mln "
"Mattia De Sciglio";"Terzino destro";"24";17/18";"Italia";"Milan";"Serie A";"Juventus";"Serie A";"12,00 mln "
"Marco Verratti";"Centrale";"19";12/13";"Italia";"Pescara";"Serie A";"Paris SG";"Ligue 1";"12,00 mln "
"Alberto Gilardino";"Punta centrale";"20";02/03";"Italia";"Verona";"Serie B";"Parma";"Serie A";"12,00 mln "
"Filippo Inzaghi";"Punta centrale";"23";97/98";"Italia";"Atalanta";"Serie A";"Juventus";"Serie A";"11,88 mln "
"Manolo Gabbiadini";"Punta centrale";"21";13/14";"Italia";"Juventus";"Serie A";"Sampdoria";"Serie A";"11,50 mln "
"Mattia Destro";"Punta centrale";"21";12/13";"Italia";"Genoa";"Serie A";"Roma";"Serie A";"Spesa prestito: 11,50 mln "
"Thiago Motta";"Mediano";"29";11/12";"Italia";"Inter";"Serie A";"Paris SG";"Ligue 1";"11,50 mln "
"Domenico Criscito";"Terzino sinistro";"21";08/09";"Italia";"Juventus";"Serie A";"Genoa";"Serie A";"11,50 mln "
"Matteo Brighi";"Centrale";"23";04/05";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"11,50 mln "
"Vincenzo Iaquinta";"Punta centrale";"27";07/08";"Italia";"Udinese";"Serie A";"Juventus";"Serie A";"11,30 mln "
"Gianluca Lapadula";"Punta centrale";"28";18/19";"Italia";"Milan";"Serie A";"Genoa";"Serie A";"11,00 mln "
"Angelo Ogbonna";"Difensore centrale";"27";15/16";"Italia";"Juventus";"Serie A";"West Ham Utd.";"Premier League";"11,00 mln "
"Alessandro Matri";"Punta centrale";"29";13/14";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"11,00 mln "
"Sebastian Giovinco";"Seconda punta";"25";12/13";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"11,00 mln "
"Manolo Gabbiadini";"Punta centrale";"20";12/13";"Italia";"Atalanta";"Serie A";"Juventus";"Serie A";"11,00 mln "
"Luca Cigarini";"Mediano";"23";09/10";"Italia";"Atalanta";"Serie A";"Napoli";"Serie A";"11,00 mln "
"Luca Toni";"Punta centrale";"30";07/08";"Italia";"Fiorentina";"Serie A";"Bayern";"1.Bundesliga";"11,00 mln "
"Marco Di Vaio";"Punta centrale";"27";04/05";"Italia";"Juventus";"Serie A";"Valencia CF";"LaLiga";"11,00 mln "
"Cristiano Zanetti";"Mediano";"24";01/02";"Italia";"Roma";"Serie A";"Inter";"Serie A";"11,00 mln "
"Enrico Chiesa";"Punta centrale";"28";99/00";"Italia";"Parma";"Serie A";"Fiorentina";"Serie A";"10,70 mln "
"Manolo Gabbiadini";"Punta centrale";"23";14/15";"Italia";"Sampdoria";"Serie A";"Napoli";"Serie A";"12,50 mln "
"Giampaolo Pazzini";"Punta centrale";"28";12/13";"Italia";"Inter";"Serie A";"Milan";"Serie A";"12,50 mln "
"Massimo Maccarone";"Punta centrale";"22";02/03";"Italia";"Empoli";"Serie A";"Middlesbrough";"Premier League";"12,38 mln "
"Simone Zaza";"Punta centrale";"28";19/20";"Italia";"Valencia CF";"";"Torino";"";"12,00 mln "
"Mattia Perin";"Portiere";"25";18/19";"Italia";"Genoa";"Serie A";"Juventus";"Serie A";"12,00 mln "
"Mattia De Sciglio";"Terzino destro";"24";17/18";"Italia";"Milan";"Serie A";"Juventus";"Serie A";"12,00 mln "
"Marco Verratti";"Centrale";"19";12/13";"Italia";"Pescara";"Serie A";"Paris SG";"Ligue 1";"12,00 mln "
"Alberto Gilardino";"Punta centrale";"20";02/03";"Italia";"Verona";"Serie B";"Parma";"Serie A";"12,00 mln "
"Filippo Inzaghi";"Punta centrale";"23";97/98";"Italia";"Atalanta";"Serie A";"Juventus";"Serie A";"11,88 mln "
"Manolo Gabbiadini";"Punta centrale";"21";13/14";"Italia";"Juventus";"Serie A";"Sampdoria";"Serie A";"11,50 mln "
"Mattia Destro";"Punta centrale";"21";12/13";"Italia";"Genoa";"Serie A";"Roma";"Serie A";"Spesa prestito: 11,50 mln "
"Thiago Motta";"Mediano";"29";11/12";"Italia";"Inter";"Serie A";"Paris SG";"Ligue 1";"11,50 mln "
"Domenico Criscito";"Terzino sinistro";"21";08/09";"Italia";"Juventus";"Serie A";"Genoa";"Serie A";"11,50 mln "
"Matteo Brighi";"Centrale";"23";04/05";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"11,50 mln "
"Vincenzo Iaquinta";"Punta centrale";"27";07/08";"Italia";"Udinese";"Serie A";"Juventus";"Serie A";"11,30 mln "
"Gianluca Lapadula";"Punta centrale";"28";18/19";"Italia";"Milan";"Serie A";"Genoa";"Serie A";"11,00 mln "
"Angelo Ogbonna";"Difensore centrale";"27";15/16";"Italia";"Juventus";"Serie A";"West Ham Utd.";"Premier League";"11,00 mln "
"Alessandro Matri";"Punta centrale";"29";13/14";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"11,00 mln "
"Sebastian Giovinco";"Seconda punta";"25";12/13";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"11,00 mln "
"Manolo Gabbiadini";"Punta centrale";"20";12/13";"Italia";"Atalanta";"Serie A";"Juventus";"Serie A";"11,00 mln "
"Luca Cigarini";"Mediano";"23";09/10";"Italia";"Atalanta";"Serie A";"Napoli";"Serie A";"11,00 mln "
"Luca Toni";"Punta centrale";"30";07/08";"Italia";"Fiorentina";"Serie A";"Bayern";"1.Bundesliga";"11,00 mln "
"Marco Di Vaio";"Punta centrale";"27";04/05";"Italia";"Juventus";"Serie A";"Valencia CF";"LaLiga";"11,00 mln "
"Cristiano Zanetti";"Mediano";"24";01/02";"Italia";"Roma";"Serie A";"Inter";"Serie A";"11,00 mln "
"Enrico Chiesa";"Punta centrale";"28";99/00";"Italia";"Parma";"Serie A";"Fiorentina";"Serie A";"10,70 mln "
"Manolo Gabbiadini";"Punta centrale";"23";14/15";"Italia";"Sampdoria";"Serie A";"Napoli";"Serie A";"12,50 mln "
"Giampaolo Pazzini";"Punta centrale";"28";12/13";"Italia";"Inter";"Serie A";"Milan";"Serie A";"12,50 mln "
"Massimo Maccarone";"Punta centrale";"22";02/03";"Italia";"Empoli";"Serie A";"Middlesbrough";"Premier League";"12,38 mln "
"Simone Zaza";"Punta centrale";"28";19/20";"Italia";"Valencia CF";"";"Torino";"";"12,00 mln "
"Mattia Perin";"Portiere";"25";18/19";"Italia";"Genoa";"Serie A";"Juventus";"Serie A";"12,00 mln "
"Mattia De Sciglio";"Terzino destro";"24";17/18";"Italia";"Milan";"Serie A";"Juventus";"Serie A";"12,00 mln "
"Marco Verratti";"Centrale";"19";12/13";"Italia";"Pescara";"Serie A";"Paris SG";"Ligue 1";"12,00 mln "
"Alberto Gilardino";"Punta centrale";"20";02/03";"Italia";"Verona";"Serie B";"Parma";"Serie A";"12,00 mln "
"Filippo Inzaghi";"Punta centrale";"23";97/98";"Italia";"Atalanta";"Serie A";"Juventus";"Serie A";"11,88 mln "
"Manolo Gabbiadini";"Punta centrale";"21";13/14";"Italia";"Juventus";"Serie A";"Sampdoria";"Serie A";"11,50 mln "
"Mattia Destro";"Punta centrale";"21";12/13";"Italia";"Genoa";"Serie A";"Roma";"Serie A";"Spesa prestito: 11,50 mln "
"Thiago Motta";"Mediano";"29";11/12";"Italia";"Inter";"Serie A";"Paris SG";"Ligue 1";"11,50 mln "
"Domenico Criscito";"Terzino sinistro";"21";08/09";"Italia";"Juventus";"Serie A";"Genoa";"Serie A";"11,50 mln "
"Matteo Brighi";"Centrale";"23";04/05";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"11,50 mln "
"Vincenzo Iaquinta";"Punta centrale";"27";07/08";"Italia";"Udinese";"Serie A";"Juventus";"Serie A";"11,30 mln "
"Gianluca Lapadula";"Punta centrale";"28";18/19";"Italia";"Milan";"Serie A";"Genoa";"Serie A";"11,00 mln "
"Angelo Ogbonna";"Difensore centrale";"27";15/16";"Italia";"Juventus";"Serie A";"West Ham Utd.";"Premier League";"11,00 mln "
"Alessandro Matri";"Punta centrale";"29";13/14";"Italia";"Juventus";"Serie A";"Milan";"Serie A";"11,00 mln "
"Sebastian Giovinco";"Seconda punta";"25";12/13";"Italia";"Parma";"Serie A";"Juventus";"Serie A";"11,00 mln "
"Manolo Gabbiadini";"Punta centrale";"20";12/13";"Italia";"Atalanta";"Serie A";"Juventus";"Serie A";"11,00 mln "
"Luca Cigarini";"Mediano";"23";09/10";"Italia";"Atalanta";"Serie A";"Napoli";"Serie A";"11,00 mln "
"Luca Toni";"Punta centrale";"30";07/08";"Italia";"Fiorentina";"Serie A";"Bayern";"1.Bundesliga";"11,00 mln "
"Marco Di Vaio";"Punta centrale";"27";04/05";"Italia";"Juventus";"Serie A";"Valencia CF";"LaLiga";"11,00 mln "
"Cristiano Zanetti";"Mediano";"24";01/02";"Italia";"Roma";"Serie A";"Inter";"Serie A";"11,00 mln "
"Enrico Chiesa";"Punta centrale";"28";99/00";"Italia";"Parma";"Serie A";"Fiorentina";"Serie A";"10,70 mln "
"Manolo Gabbiadini";"Punta centrale";"23";14/15";"Italia";"Sampdoria";"Serie A";"Napoli";"Serie A";"12,50 mln "
"Giampaolo Pazzini";"Punta centrale";"28";12/13";"Italia
